Abercron, Dr. Michael von | CDU/CSU
Achelwilm, Doris | Die Linke
Aggelidis, Grigorios | FDP
Akbulut, Gökay | Die Linke
Albani, Stephan | CDU/CSU
Alt, Renata | FDP
Altenkamp, Norbert | CDU/CSU
Altmaier, Peter | CDU/CSU
Amthor, Philipp | CDU/CSU
Amtsberg, Luise | Bündnis 90/Die Grünen
Andreae, Kerstin | Bündnis 90/Die Grünen
Annen, Niels | SPD
Arndt-Brauer, Ingrid | SPD
Aschenberg-Dugnus, Christine | FDP
Auernhammer, Artur | CDU/CSU
Aumer, Peter | CDU/CSU
Badum, Lisa | Bündnis 90/Die Grünen
Baehrens, Heike | SPD
Bär, Dorothee | CDU/CSU
Baerbock, Annalena | Bündnis 90/Die Grünen
Bahr, Ulrike | SPD
Bareiß, Thomas | CDU/CSU
Barley, Dr. Katarina | SPD
Barnett, Doris | SPD
Barrientos, Simone | Die Linke
Barthle, Norbert | CDU/CSU
Bartke, Dr. Matthias | SPD
Bartol, Sören | SPD
Bartsch, Dr. Dietmar | Die Linke
Bas, Bärbel | SPD
Bauer, Nicole | FDP
Baumann, Dr. Bernd | AfD
Bause, Margarete | Bündnis 90/Die Grünen
Bayaz, Dr. Danyal | Bündnis 90/Die Grünen
Bayram, Canan | Bündnis 90/Die Grünen
Beeck, Jens | FDP
Beer, Nicola | FDP
Beermann, Maik | CDU/CSU
Behrens (Börde), Manfred | CDU/CSU
Bellmann, Veronika | CDU/CSU
Benning, Sybille | CDU/CSU
Berghegger, Dr. André | CDU/CSU
Bernhard, Marc | AfD
Bernstein, Melanie | CDU/CSU
Bernstiel, Christoph | CDU/CSU
Beutin, Lorenz Gösta | Die Linke
Beyer, Peter | CDU/CSU
Biadacz, Marc | CDU/CSU
Bilger, Steffen | CDU/CSU
Binding (Heidelberg), Lothar | SPD
Birkwald, Matthias W. | Die Linke
Bleck, Andreas | AfD
Bleser, Peter | CDU/CSU
Bluhm, Heidrun | Die Linke
Boehringer, Peter | AfD
Brackmann, Norbert | CDU/CSU
Brand (Fulda), Michael | CDU/CSU
Brandenburg (Rhein-Neckar), Dr. Jens | FDP
Brandenburg (Südpfalz), Mario | FDP
Brandl, Dr. Reinhard | CDU/CSU
Brandner, Stephan | AfD
Brandt, Michel | Die Linke
Brantner, Dr. Franziska | Bündnis 90/Die Grünen
